project_id,repo,path,bytes,lines,sha256,role,#,confidence,basis
evt-v103-iap,CH32V103,CH32V103/EVT/EXAM/IAP/UART_USB_IAP/CH32V103_IAP/User/ch32v10x_it.h,759,18,fdd7daa9fb41e1492c9e2900153877d1d779e44ac5a25f546284c4a6dab6f619,support,#,single-source,evt:CH32V103/EVT/EXAM/IAP/UART_USB_IAP/CH32V103_IAP/User/ch32v10x_it.h
evt-v103-iap,CH32V103,CH32V103/EVT/EXAM/IAP/UART_USB_IAP/CH32V103_IAP/User/flash.c,2032,67,708568cb3ecf3bb52acb43bca2ad3904a196825365fe688b3e504ddf7a100015,flash,#,single-source,evt:CH32V103/EVT/EXAM/IAP/UART_USB_IAP/CH32V103_IAP/User/flash.c
evt-v103-iap,CH32V103,CH32V103/EVT/EXAM/IAP/UART_USB_IAP/CH32V103_IAP/User/flash.h,833,23,381f30991e8414f0a69fd30f45f2dd9e652397dd793c2b2b988a5c4c079ccd2b,flash,#,single-source,evt:CH32V103/EVT/EXAM/IAP/UART_USB_IAP/CH32V103_IAP/User/flash.h
evt-v103-iap,CH32V103,CH32V103/EVT/EXAM/IAP/UART_USB_IAP/CH32V103_IAP/User/iap.c,8070,299,9095d1cbe4a59c81d566e0cc4c0cb0ff3f3d6392881fa5be5059b6570026b3a6,protocol,#,single-source,evt:CH32V103/EVT/EXAM/IAP/UART_USB_IAP/CH32V103_IAP/User/iap.c
evt-v103-iap,CH32V103,CH32V103/EVT/EXAM/IAP/UART_USB_IAP/CH32V103_IAP/User/iap.h,1736,60,b1e7c2bd369bfc85f66a8b264280b86e1a7110bebf0bd91e5de14ecfe00c4368,protocol,#,single-source,evt:CH32V103/EVT/EXAM/IAP/UART_USB_IAP/CH32V103_IAP/User/iap.h
evt-v103-iap,CH32V103,CH32V103/EVT/EXAM/IAP/UART_USB_IAP/CH32V103_IAP/User/main.c,20911,659,725c93012a65a791863703f2c73ee73a72ad3a1e46473262c3bc262499906541,entry,#,single-source,evt:CH32V103/EVT/EXAM/IAP/UART_USB_IAP/CH32V103_IAP/User/main.c
evt-v103-iap,CH32V103,CH32V103/EVT/EXAM/IAP/UART_USB_IAP/CH32V103_IAP/User/system_ch32v10x.c,18932,601,c9b7a0e8b6293b42751e7d0659c506484dc3933c9fcba4e6f573e125a5ed8126,startup,#,single-source,evt:CH32V103/EVT/EXAM/IAP/UART_USB_IAP/CH32V103_IAP/User/system_ch32v10x.c
evt-v103-iap,CH32V103,CH32V103/EVT/EXAM/IAP/UART_USB_IAP/CH32V103_IAP/User/system_ch32v10x.h,1034,30,1774444534cb6c25f7287f4700727f3842373a2713cfe06dfdbb4a1b49942da8,startup,#,single-source,evt:CH32V103/EVT/EXAM/IAP/UART_USB_IAP/CH32V103_IAP/User/system_ch32v10x.h
evt-v103-app,CH32V103,CH32V103/EVT/EXAM/IAP/UART_USB_IAP/CH32V103_APP/LD/CH32V103R8T6.ld,3502,168,7f5380fee52ea2c1fcf2e463dca71bb8dbe55287e8420b1100b30a33d3840585,linker,#,single-source,evt:CH32V103/EVT/EXAM/IAP/UART_USB_IAP/CH32V103_APP/LD/CH32V103R8T6.ld
evt-v103-app,CH32V103,CH32V103/EVT/EXAM/IAP/UART_USB_IAP/CH32V103_APP/User/ch32v10x_conf.h,1326,44,7d3a1eab2a7de2f98affca627fc7f7e427594c3a5dde06990af68ed08dc42cbb,support,#,single-source,evt:CH32V103/EVT/EXAM/IAP/UART_USB_IAP/CH32V103_APP/User/ch32v10x_conf.h
evt-v103-app,CH32V103,CH32V103/EVT/EXAM/IAP/UART_USB_IAP/CH32V103_APP/User/ch32v10x_it.c,2038,58,4de64274592d4eacd2de54e2a100868326c6da8d909e84b4cf2715df28fe2a88,support,#,single-source,evt:CH32V103/EVT/EXAM/IAP/UART_USB_IAP/CH32V103_APP/User/ch32v10x_it.c
evt-v103-app,CH32V103,CH32V103/EVT/EXAM/IAP/UART_USB_IAP/CH32V103_APP/User/ch32v10x_it.h,755,21,6de5f1163b0f144b68eeaad05a97046882a4e828723eaa0bf82c0dbeae465a69,support,#,single-source,evt:CH32V103/EVT/EXAM/IAP/UART_USB_IAP/CH32V103_APP/User/ch32v10x_it.h
evt-v103-app,CH32V103,CH32V103/EVT/EXAM/IAP/UART_USB_IAP/CH32V103_APP/User/main.c,2150,78,a267c0fdfe454a3e9e77bc46ce9562b46398ab07b3470b1f883364d2d322b0c7,entry,#,single-source,evt:CH32V103/EVT/EXAM/IAP/UART_USB_IAP/CH32V103_APP/User/main.c
evt-v103-app,CH32V103,CH32V103/EVT/EXAM/IAP/UART_USB_IAP/CH32V103_APP/User/system_ch32v10x.c,18932,601,c9b7a0e8b6293b42751e7d0659c506484dc3933c9fcba4e6f573e125a5ed8126,startup,#,single-source,evt:CH32V103/EVT/EXAM/IAP/UART_USB_IAP/CH32V103_APP/User/system_ch32v10x.c
evt-v103-app,CH32V103,CH32V103/EVT/EXAM/IAP/UART_USB_IAP/CH32V103_APP/User/system_ch32v10x.h,1047,33,2a94748eed2ccdf8ab4fd657787e3b7af5f87a152d0e36858eaea96c759a1e06,startup,#,single-source,evt:CH32V103/EVT/EXAM/IAP/UART_USB_IAP/CH32V103_APP/User/system_ch32v10x.h
evt-v205-iap,CH32V205,CH32V205/EVT/EXAM/IAP/USB_UART/CH32V205_IAP/Ld/Link.ld,3586,160,1abe280880718fad0e5fd6c2b1f6a9c63863b81b00db435fab1f74e6fb9177a4,linker,#,single-source,evt:CH32V205/EVT/EXAM/IAP/USB_UART/CH32V205_IAP/Ld/Link.ld
